"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"WDR54",5.22663162874265,-1.71677741345528,0.974302224961825,0.0137610387025575,0.0391712735345076
"TSPAN9",14.3059604346489,-1.09777788660726,0.537540224407934,0.0179754765431067,0.0487542406239922
"POLA2",3.03952923517978,-2.33905602868372,1.50268190009459,0.0111385114475662,0.0328162805244263
"CLCA4",11.2233007380239,-3.64305145734984,0.906830115962832,1.10016751840269e-05,6.94524782889161e-05
"CYP24A1",5.41999424398762,-2.11789452024448,1.24438964524217,0.0126419027281694,0.0364754586481839
"RNASET2",2.8878068322848,-2.75083053105233,1.65198931745045,0.00847479520250526,0.0261228889422766
"KITLG",8.34087423419259,-1.6766000616258,0.761158260051428,0.00601662668515654,0.0195087989321335
"FNIP2",25.7601473115993,-1.0634076665413,0.385810718470465,0.00287348104238753,0.0103292624081656
"MPC1",39.8562534409302,-1.36350431084345,0.356400547187969,4.71927015895536e-05,0.000265506049545526
"RPL18",345.212450725458,-1.85067033806283,0.123554045258459,2.47313995976916e-51,1.49690050196554e-49
"ATP2C2",5.65060205896488,-2.35599927221641,1.04815131815606,0.00326976841675941,0.0115699497823794
"NTHL1",3.99221986324489,-2.23120446663011,1.27733081826304,0.00913700900122947,0.0278100406301206
"OAT",114.903092752524,-1.22191537997297,0.199527828123483,4.12452402813311e-10,4.72352129362962e-09
"WDR18",32.6143757053427,-1.00289779468799,0.344912654198606,0.00193430908770829,0.00729927957625769
"MCM10",2.72227954788499,-2.71408145019145,1.83360401505151,0.00917528096771016,0.0278957650042741
"COL17A1",412.469469069158,-1.96877788957334,0.109582720661675,8.30498703395994e-73,7.54005401767416e-71
"YBX1",380.063800236973,-1.21152986538726,0.109743709989607,1.07503730364565e-28,3.63615558586028e-27
"ASPM",3.56180474708052,-2.05253885450146,1.28557506311676,0.0151513595108624,0.0424373373756649
"PABPC1",454.611191659642,-1.39556948820603,0.103223434977802,4.49561692123944e-42,2.26421582164614e-40
"TESK2",10.7062364092479,-1.71630679500026,0.723211672598041,0.00387913295177193,0.0134165500587601
"TRIP13",10.3012258173046,-1.92130346753954,0.699779039428619,0.0011194495868621,0.00451311840452729
"ATP6AP1",51.3506580996142,-1.04544961925045,0.286416424261943,0.000136304495249792,0.000689011734229717
"SMC1A",21.7470906579061,-1.11951672777285,0.429171160181219,0.00412631093940887,0.0141508675357461
"HMMR",4.84655495539438,-2.16885618156464,1.13654738631037,0.00786422826049019,0.0245091124649423
"XRCC1",15.7789178328467,-1.28259015705007,0.520198894165651,0.00499530548300671,0.0167115674340588
"SCARB1",13.4887310605609,-1.17038489855284,0.539130833016858,0.0121018171943697,0.0351885961403923
"DHRS9",63.3994919329731,-1.18783787032414,0.302850911102303,3.96941126895083e-05,0.000225609042469199
"LMAN1",58.900227795093,-1.06851833229574,0.279682080509479,6.79144528234744e-05,0.000368460864386144
"SEMA3C",38.3644464690301,-1.67085990602087,0.329820552614252,1.1170243075734e-07,9.73165116446526e-07
"WDR62",6.70769541832117,-1.5043839643741,0.82297777039333,0.0165298922147029,0.0455951454253249
"REXO2",75.9679345598691,-1.24081999473797,0.241069938756545,1.13181583140778e-07,9.85429556683118e-07
"FBLN1",4.04388848150282,-2.99952197214877,1.3145461718298,0.00228979718225002,0.00845124394625576
"EDN1",11.396679399007,-2.60054760430232,0.750714801614904,7.40054309130135e-05,0.000398313161700307
"NDC80",3.09183444664602,-2.02574839950731,1.44837516610623,0.0181807508483756,0.0492335874622415
"HAL",5.95254245518152,-2.76278376390285,1.11371860657374,0.00158169788269857,0.0061330235406688
"PIGS",13.837699178018,-1.35673314222608,0.549941792162834,0.00454697258437362,0.0153870087455508
"PSMC5",73.0630162797955,-1.20986224933062,0.237116506917112,1.50672051903546e-07,1.28429543932609e-06
"TFAP2C",24.9315147448859,-1.18423657011934,0.41741667358747,0.00193125300320972,0.00729173500527884
"AURKA",9.50201379774336,-2.15786319109975,0.749647867901931,0.000643113604196457,0.00276737378793611
"TPX2",28.9910152565221,-1.13167815785495,0.391904549619388,0.00175898424434341,0.00674090046429856
"SLC15A1",3.44716336167944,-2.16254778158322,1.36116874273721,0.0133147037142574,0.0381367603272627
"BIRC5",5.11762658365972,-4.82778077960537,1.53170413132892,9.37651048734933e-05,0.00049368883908974
"KIF4A",3.55539664198216,-2.26789896847646,1.24791910398583,0.0079927824159573,0.0248424318333808
"NAT14",6.11435186494257,-1.8029769093864,0.991325027319375,0.0111989332383216,0.0329520850082811
"TMEM101",16.1669309224011,-1.14001731616506,0.475072340787424,0.00708676418202225,0.0224718165698316
"CCDC80",3.77916025711518,-1.89673740926302,1.11661069559193,0.0127879907482296,0.0368422280429162
"PSME1",59.0054761131236,-1.97507320269149,0.283420544120637,7.02611540973174e-13,1.02495129655706e-11
"MYL6",581.390190070741,-1.06286894382543,0.0913604615516183,1.48423993673844e-31,5.65815224502499e-30
"CDC23",34.9433984059803,-1.34235616335436,0.354952141920157,5.79317057661618e-05,0.000320680922411967
"TECR",93.536438549813,-1.32456962899716,0.244456538710774,2.41318072522303e-08,2.2903640995927e-07
"POLR2F",10.3249492597323,-1.35942147144045,0.610122550981042,0.00815860967609333,0.0252781350539039
"TIMP3",8.72493677760143,-1.66846168955587,0.757035743136775,0.00614348184839515,0.0198594634593237
"AP1B1",73.4725177377705,-1.07760337466198,0.24217372189156,4.43297167076931e-06,3.00171781435802e-05
"MCM5",4.0520005210402,-1.96770464957758,1.11577554951251,0.0106939971280623,0.031662124086518
"SYNGR1",3.77085560596988,-1.8130310933533,1.12314387650192,0.0159493094484408,0.044361147073523
"ACO2",93.0786438335474,-1.18664357238297,0.219933901717883,3.1547220662855e-08,2.95353897657665e-07
"CDKN3",4.85924170967125,-2.04937608275928,1.1994426204918,0.0104435166633779,0.0310470766813045
"DAAM1",32.835981547804,-1.46751674501956,0.352815992873773,1.05100782976928e-05,6.65927826024611e-05
"HIF1A",231.166760573701,-1.0250511809805,0.133344905573555,8.2934130706774e-15,1.41295185648578e-13
"PSME2",71.1473079620001,-1.42239912693133,0.281846636002767,1.64031400082168e-07,1.3921484139815e-06
"MYBL2",9.95519568993157,-2.62759864278896,0.797162790509376,0.000131619195042256,0.000667528442331175
"TM9SF4",48.8415982461573,-1.35545253434586,0.293496144588614,1.46263926030456e-06,1.06852418169417e-05
"IDH3B",84.2296424437844,-1.23721539832656,0.238712255108961,9.50581879355429e-08,8.35543307968467e-07
"GDPD3",39.1326598032825,-1.01945454678739,0.345516874436562,0.0016561572709334,0.00638942419314534
"MT4",3.78853227503415,-3.6228779634329,3.62691692301159,0.00820359971313079,0.0253776453802297
"COTL1",28.731164768714,-1.895838907106,0.396589711521654,3.88562696547161e-07,3.1139170803431e-06
"QPRT",5.19059099068511,-4.05402909546644,1.35806197231627,0.000391194082492064,0.00177581524289161
"VPS35L",15.9408888238825,-1.15468892920251,0.55538593907814,0.0156556613486196,0.0436372705738136
"CTSH",3.5334384668175,-2.03020921305137,1.23676488371835,0.0130841918242771,0.0375779078407959
"CEMIP",9.15591952996715,-2.55232312770012,0.804426471066429,0.000217592061625199,0.001046991091502
"TGM5",2.70472659270231,-3.14723582442438,1.80671904197785,0.00501719772670738,0.0167726086793997
"NUCB1",54.4410221823413,-2.17116026744905,0.316809202795268,1.3631141882963e-12,1.92735407771403e-11
"OLFM2",45.6760054657157,-1.1169716343423,0.338272608690343,0.00045624630754272,0.00204090730764653
"CNFN",559.695733221146,-1.71775492234843,0.150112813273016,5.99620629257902e-31,2.20073528823379e-29
"TMEM205",103.758705254441,-1.22376529436524,0.254221136862969,6.58811398179582e-07,5.08194370870779e-06
"WDR83OS",230.760972313653,-1.47707151987627,0.185174941763997,5.1278107073433e-16,9.37268712070696e-15
"DLX5",17.8638680859459,-1.97768391063497,0.583617932951237,0.000130951954235084,0.000664632941685972
"GSDME",19.7535887016724,-1.22386117357669,0.453515599517362,0.00279686405250725,0.0100902988998266
"CHCHD2",335.550433811189,-1.59196221756377,0.140325973900553,2.53647656741559e-30,9.02148882225134e-29
"PSMA2",53.9693016725313,-1.33808643034533,0.287230995398038,1.21844704546987e-06,9.01102316585434e-06
"MAP3K8",15.3042171036408,-1.16960056526875,0.563040924259342,0.014997032660439,0.0421021749265864
"DKK1",22.9225857113167,-2.2696708097617,0.506215612682143,1.26776331649944e-06,9.36570330176248e-06
"KRT23",196.186101859078,-2.32589574761081,0.198890664352972,2.34981689625719e-32,9.1603031549009e-31
"RUNDC3A",8.09297444653024,-1.76002792869109,0.757668756465423,0.00418114453319172,0.0143353526852288
"MTMR4",16.075224498906,-1.1066033489497,0.480923066606225,0.00951909569249226,0.0287070630586524
"DHX40",17.7296356588789,-1.03687421643936,0.494529990642911,0.0172608181939754,0.0472336488353879
"BLMH",31.0319311122228,-1.84685081899404,0.400691752401067,9.42455730105836e-07,7.0954113886855e-06
"HDAC5",44.6672877706289,-1.39987283026946,0.308027007532645,1.9812302852293e-06,1.41370103082546e-05
"INPP4B",7.43693003700808,-2.59563884012009,0.839846793977771,0.000266205713346878,0.00125680425733387
"GAB1",14.7100296425921,-1.40966890048946,0.514183125564854,0.00195345092710711,0.0073654707087645
"NCAPG",4.96149503655674,-3.08168714831333,1.2428120370501,0.00149236155028614,0.00583250903255417
"CRYAB",813.748426368834,-1.07551156785335,0.0987366300003864,5.66176367779731e-28,1.86029377984769e-26
"COMMD9",9.2300894372723,-1.90596491279816,0.728956660325166,0.00166973387604658,0.0064382027073045
"CD81",119.27053964688,-1.04676226501104,0.189776593172004,1.86100084010741e-08,1.8073055308573e-07
"FOXM1",4.1295212270135,-2.90592800454614,1.229209407793,0.00215272429007991,0.00799450893517299
"COPZ1",93.8024918204955,-1.26122788330501,0.22071123826639,4.66212632593643e-09,4.85198667405149e-08
"C12orf57",55.1028205325717,-1.22569492078468,0.316615873626361,4.66322990405452e-05,0.000262770815336678
"COX6A1",158.870291033095,-1.39990004530604,0.188582159485837,4.20466144860416e-14,6.78647111002777e-13
"PPARD",79.70508478385,-1.39599331480599,0.232604990064187,7.20326824285682e-10,8.12133184243661e-09
"GMNN",9.36326264846146,-2.48608776541389,0.817352083264708,0.000299789648005616,0.00139786390608355
"COX7A2",159.391774683186,-1.33710231386394,0.174856109694346,8.14244511590753e-15,1.38894613843664e-13
"KIF20A",4.40988333181152,-2.78650403644922,1.44456425878988,0.00475144425282874,0.0160089246901266
"RBP1",2.60366211645808,-5.62233094291821,2.93725586804913,0.000532002763340911,0.00233878919797165
"BCHE",1.86766395896321,-1.16570846609219,2.30168861370941,0.0121851282460648,0.0354010041675147
"C3orf14",3.7613422412972,-1.72491609044521,1.09508800342178,0.0183246464325257,0.049545478207064
"IL1A",229.426796141251,-1.7065128095141,0.166586427615058,3.63127868461064e-25,1.04182215899432e-23
"NCL",262.300575389492,-1.29838898113632,0.128781696896423,2.64364297897096e-24,7.2818908402793e-23
"PPP1R7",60.5619308444581,-1.32746383025658,0.276996918943183,6.47477008557356e-07,5.01131952781353e-06
"RND3",122.460969301088,-1.29947878785291,0.191246802476559,4.51776015164483e-12,6.12427211126706e-11
"ATP5PB",105.252487472405,-1.69765664906997,0.224661599421453,1.13388610854088e-14,1.9176015070912e-13
"NCF2",8.07509249231775,-2.55559386565185,0.920637915353973,0.000663267907018007,0.00284522757750963
"RGS2",61.4303809111304,-2.81778212160759,0.321872603566974,3.24791476880245e-19,7.10320504112106e-18
"MYCL",6.96386619001431,-2.08486097647435,0.844499670190113,0.00211411987707536,0.00786808368490831
"SIPA1L2",18.7240827650172,-1.7180769705605,0.525123557174636,0.000266966956474761,0.00125953641003477
"CDC20",25.7966903428908,-1.82101720363727,0.467552451554406,2.19949678112753e-05,0.000132430434465794
"ABCD3",20.2680276846113,-1.13237480263365,0.46541692651676,0.00655033186285128,0.0209975794906731
"STMN1",16.5700553289069,-1.19075080916428,0.506383834716444,0.00751929577072679,0.0236154487109763
"CENPF",7.18189362572494,-2.27572970101975,0.912961665567708,0.00195898899452604,0.0073823178930801
"NRP2",3.54479401438012,-2.21298346994834,1.22979906874025,0.00871094946888698,0.0267076433394002
"SGK1",42.6963110174529,-1.28963028541608,0.342110690874247,6.55439360492412e-05,0.000357512378450406
"ARG1",21.6693362038159,-1.90938762528138,0.587082162105234,0.000233910967917726,0.00111849319378539
"C1orf198",23.4583513428033,-1.18348053364799,0.414043021947481,0.00181761210544921,0.00692585268966925
"LTBP2",10.1798050316008,-1.68393086470919,0.671168797167748,0.00279749881092295,0.0100902988998266
"MSX2",14.6568171259708,-1.10813743787276,0.515885238583816,0.0137762344418076,0.0391983577931846
"ARL4A",21.4725174989347,-1.07305678663303,0.452385912356317,0.00835495139579864,0.025788040541718
"PFDN5",137.315498726099,-1.12416779835237,0.179691783958442,1.9644157951701e-10,2.30518180045471e-09
"HJURP",3.01472089808968,-3.6423218103445,1.87895980759972,0.00276359341573125,0.00998104923765799
"MCEE",9.79929015984682,-1.92253396191435,0.942702911683195,0.00607306486592898,0.019673308720615
"RPS10",29.0456106643593,-1.56703536281798,0.398891922691811,2.50745369806801e-05,0.00014888347572454
"MT2A",725.561280009024,-1.96942847643084,0.117398676707334,8.03294421294559e-64,6.40778208893926e-62
"TNFSF9",35.4866302901114,-1.39737703020324,0.390065205544791,0.00011842747774425,0.0006075461683534
"TGM3",5.64277964667662,-3.11071332432615,1.08431976004587,0.000490371968082325,0.00217662694098941
"MGME1",34.6933486983881,-1.50879391465209,0.370857168046853,1.46118706570259e-05,9.03827050950056e-05
"ERGIC3",75.9592256287969,-1.02351530469469,0.272044565436505,9.07285412080915e-05,0.000480082004858767
"DLGAP5",4.57147188688268,-2.76522551314209,1.263012770937,0.00275017826369948,0.00994300760782102
"BCL11B",4.02242692418559,-1.68838765793211,1.02428668373044,0.0176161988731159,0.0480346857239674
"HAT1",18.6046799643944,-1.00723105186551,0.46594936822202,0.0154252808740007,0.0430995902128385
"CD68",72.0574955193933,-1.45260462798198,0.272624453285746,3.39029164947177e-08,3.15057405809498e-07
"MPDU1",50.1085570351597,-1.33624349733946,0.300268567529934,3.3056370989656e-06,2.29004979747617e-05
"SLC44A2",70.3470793299895,-1.38959204648194,0.241437210701465,3.20375931523002e-09,3.39048148390907e-08
"RPS4Y1",315.435105092455,-1.42542445694525,0.148890232989703,3.72477061465667e-22,9.57203621643614e-21
"FAM155B",6.19641850780919,-1.49384158334941,0.83938131936749,0.0176477050639621,0.0481015859930234
"TNNI2",6.97313167790195,-4.96735452263062,1.48712014609348,4.83850823955801e-05,0.00027153889266328
"CHMP2A",148.519739199513,-1.14509374676316,0.172013839495176,1.40604898869223e-11,1.82021351256593e-10
"TMEM160",13.9669100169844,-1.68149559599014,0.819162884847782,0.00768505126169541,0.0240430078012688
"ACSS2",31.6755387155397,-1.2124513378732,0.36808969518719,0.000417709210977913,0.00188501867609392
"COX4I1",117.995913540468,-1.11652917894883,0.191379187894873,2.69736990219861e-09,2.86556617785533e-08
"COX7B",120.518765321442,-1.36319997913506,0.209964010215756,3.20760692642625e-11,4.0461586457662e-10
"GJA9",1.99147844638841,-2.32399589771984,2.09443294449438,0.0154215522015761,0.0430978980116951
"COQ3",25.4550020800226,-1.40665441767751,0.450566373142227,0.000597986899972518,0.00259667061662075
"PDZD2",11.8405843986832,-1.47701825150819,0.598079848331389,0.00391121812223354,0.0135105907601559
"CCNB1",34.1851460308589,-2.6845930354421,0.396050433633705,1.82722776260201e-12,2.54962013386327e-11
"EMC7",102.291317055,-1.36870344828125,0.246769804801834,1.09486747997591e-08,1.0940746722424e-07
"GRHL1",115.774779000812,-1.7333990757866,0.194872932584159,1.58203409614886e-19,3.51563132477524e-18
"FST",21.5195435152209,-2.4049349223341,0.519860437264886,5.86839093956176e-07,4.58312365398711e-06
"TCN1",4.58783945211808,-3.18027747276616,1.43029291282258,0.00308248164002209,0.0109889554720498
"OASL",20.6595270082043,-1.75669680539968,0.554537607708775,0.000372515484225331,0.00169828664760805
"NT5E",17.8019298115289,-1.54983542491139,0.508462595455015,0.00065305206809271,0.00280576542331239
"EHF",133.780238118377,-1.78924236829562,0.219850542514068,1.05244703385268e-16,2.00327849202303e-15
"OS9",90.090174963389,-1.17892928189056,0.22954093239829,1.30266545384646e-07,1.12149527522449e-06
"MRPS9",46.4024526634707,-1.02641791238199,0.313026508164333,0.000546377806393232,0.00239669857858442
"LMO7",13.1624012721681,-1.65756492813059,0.570366366330887,0.000914342178179721,0.00376429655694515
"GALNT5",2.03493199496985,-4.76269624862261,3.07573515623064,0.00232194939300797,0.00856304158832443
"IL1F10",6.96706534158286,-2.23867250051967,0.999750307235432,0.00346996201725283,0.0121845994498954
"DCTN3",41.017899955932,-1.25027797537773,0.331006944423064,6.55031057219443e-05,0.000357430944627454
"TUBB2A",174.156812514463,-1.39359343135569,0.18113000859739,5.27132000647402e-15,9.07035113333435e-14
"DDX60",5.10893061272615,-2.11787753117416,1.00000991749065,0.00502919156914577,0.0167991195277785
"SORL1",6.71414066174222,-1.51872600440144,0.810907540738814,0.0149657104556109,0.0420368011983373
"THBS1",99.6202493724993,-2.62886613942699,0.242460773021098,3.59643104466531e-28,1.19304683693224e-26
"IFI44",21.7189499310686,-1.88924007058572,0.636728506751586,0.000614672454478436,0.0026599184295398
"SLC44A5",3.69729761549613,-1.85876902736685,1.14225786083737,0.0147444595047325,0.0415167396786999
"HADHB",85.5704494013828,-1.7510650506412,0.227142019158649,3.36239836504323e-15,5.85872442393896e-14
"KIF11",4.384173369985,-2.72901754972957,1.14370148637403,0.00196517352081899,0.00739956196106467
"CEP55",6.64957402511534,-5.16059780078065,1.5001676251994,3.14840986018973e-05,0.000183093367343524
"ZNF365",19.8053262975854,-1.33232773206738,0.52032015487666,0.00362203489760107,0.0126413964559673
"B4GALNT3",40.2693990701935,-1.06746154067932,0.315651956799692,0.000364569422580606,0.00166481073183731
"GLIPR1",2.59834086442068,-2.44572050461783,1.58232676864227,0.0126019135147934,0.0363820934109097
"SNRPF",37.5823796832045,-1.01302181144135,0.338921846869649,0.00147190791669463,0.00576072865864602
"C12orf10",27.455318592882,-1.35473767516744,0.427316591175777,0.000548467545762118,0.00240204764567351
"DIAPH3",5.53711600826012,-1.641180251871,0.958686671870129,0.017940460178431,0.0486688324085607
"SERF2",121.181949728522,-1.49113194108435,0.194887261100694,6.87527601204675e-15,1.1786187449223e-13
"SCAMP2",101.662735207778,-1.11336636833059,0.211878161271985,7.29982610036066e-08,6.50339575112829e-07
"FANCI",5.44532957078659,-1.54434661962196,0.852133735517865,0.0157461068355785,0.043871648360788
"CBX4",37.5768330506023,-1.27425881277552,0.333734723559405,5.39372244612042e-05,0.000299892706512739
"MIEN1",59.1501112633612,-1.05551586496593,0.296507994767648,0.000190162797753834,0.000931574941073094
"TMEM50B",18.8830365017874,-1.28169746641963,0.503967803229061,0.00400190012124771,0.0137824361550333
"PSMB6",217.194952176943,-1.1490979678322,0.143565496495778,5.81810396200461e-16,1.06063189796121e-14
"KIF2C",6.62502953560672,-1.57324998130445,0.829168868780307,0.0130506338568453,0.0375025783389875
"SLC44A3",6.39998759485375,-2.14974004348548,0.904384112469145,0.00259017101362501,0.00943122954829161
"UFC1",86.1268995596799,-1.33122210904332,0.258818999995446,1.04705646746738e-07,9.16257403363975e-07
"TUFT1",122.986807940002,-1.486962551581,0.201269946796701,5.06849494803171e-14,8.14263449159926e-13
"CGN",8.64064677539999,-1.90403178114541,0.742996777426553,0.00198910482738175,0.00746725968930037
"CTSK",45.0775653391166,-1.02724703578484,0.371951573875972,0.00293964892411708,0.0105314525318836
"RAB13",70.3398645351865,-1.39461909784423,0.250041543689073,8.90598692206453e-09,9.03695731797724e-08
"FLG",75.2722964190994,-1.86164547442517,0.254099229073841,5.85464782034346e-14,9.37287006041065e-13
"RHOB",162.929906615199,-1.29039313086952,0.180161644489065,3.3007455031033e-13,4.978173545664e-12
"DQX1",7.147684243767,-1.81086388789802,0.831532494423958,0.00540046036254428,0.017820744381423
"FAHD2B",2.07438384084475,-2.39115305349281,2.17532507559265,0.01440348614522,0.0406978109754374
"ABCA12",138.007157117951,-1.40790803973016,0.192889074481418,1.06572783355932e-13,1.67506197074243e-12
"PHLDB2",20.0819086100153,-1.28626499485736,0.44191679580741,0.00136364487443452,0.00538126945015625
"CCNA2",10.4317011038066,-2.51450142426976,0.728739370241903,7.75767151046511e-05,0.000415961869353615
"PLK2",194.544094204921,-1.96995703920632,0.173727174091528,1.86080016189789e-30,6.65260161507534e-29
"BTF3",418.038202438105,-1.08685969842493,0.115434613709503,2.4558836288202e-21,6.06282541640766e-20
